Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Toronto Travellers Home,"Kensington Market, Toronto (Kensington Market)",N/A,0.9 miles from downtown,N/A,$103
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Designer One Bedroom Suite - Entertainment District Toronto,"Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.4 miles from downtown,N/A,$251
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Urban 2BDRM Steps to College and Bathurst!,"Downtown Toronto, Toronto",Two-Bedroom Apartment with Balcony,1.4 miles from downtown,N/A,$215
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Relax in East York Space Share,Toronto,Bungalow,3.5 miles from downtown,N/A,$52
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Cozy Town house,"Scarborough, Toronto",Deluxe Double Room (2 Adults + 1 Child),10.7 miles from downtown,N/A,$53
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Royal Oak Inn,"Cabbagetown, Toronto (Cabbagetown)",Double Room,0.8 miles from downtown,N/A,$117
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Yonge Suites Apart Hotel,"Yonge - Dundas, Toronto (Yonge Street)",One-Bedroom Apartment,0.2 miles from downtown,N/A,$188
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Hilton Toronto,"Financial District, Toronto (Financial District)",King Room,0.2 miles from downtown,N/A,$199
2025-10-01,booking.com,2,2025-10-10,2025-10-13,W Toronto,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",Deluxe King Room,1.3 miles from downtown,N/A,$245
2025-10-01,booking.com,2,2025-10-10,2025-10-13,"Skyline Suites - Walk to MTCC, ACC, Rogers Centre & Entertainment District","Entertainment District, Toronto (Entertainment District)",1 Bedroom City Suite,0.7 miles from downtown,N/A,$171
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Lum The Queen,Toronto,Suite,1.7 miles from downtown,N/A,$211
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Toronto Don Valley Hotel and Suites,"North York, Toronto",Double Room,5.7 miles from downtown,N/A,$99
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Woodbine Warehouse Apartment,"The Danforth, Toronto (The Danforth)",One-Bedroom Apartment,4.5 miles from downtown,N/A,$192
2025-10-01,booking.com,2,2025-10-10,2025-10-13,The Panorama Penthouse - 180 Views and Free Parking by Instant Suites,Toronto,Three-Bedroom Apartment,5 miles from downtown,N/A,$324
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",Premium King,11.9 miles from downtown,N/A,$98
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Le Germain Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe King Room,0.6 miles from downtown,N/A,$261
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Lilen's Home,"Scarborough, Toronto",Family Room with Private Bathroom,8.2 miles from downtown,N/A,$167
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Heart of Toronto Home,"Downtown Toronto, Toronto",Double Room with Private Bathroom,0.8 miles from downtown,N/A,$123
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Delta Hotels by Marriott Toronto Airport & Conference Centre,"Etobicoke, Toronto",Double Queen Room,10.2 miles from downtown,N/A,$128
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Montecassino Hotel & Event Centre,"North York, Toronto",Partner offer option,8.6 miles from downtown,N/A,$122
