Event Name,Date,Venue,Address,Latitude,Longitude,Segment,Genre,SubGenre,event_score
Oklou - MOVED TO DANFORTH MUSIC HALL,2025-10-14,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,R&B,R&B,7.33
PinkPantheress,2025-10-30,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Pop,Pop,7.33
Jeff Chang - Our Story - World Tour Concert,2025-10-31,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Music,Pop,Pop,7.33
Thundercat - North America 2025 Tour,2025-11-01,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,R&B,R&B,7.33
Lola Young,2025-11-01,History,1663 Queen St. East,43.66684147,-79.31351149,Music,R&B,R&B,7.33
Michael Kiwanuka,2025-10-04,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Rock,Pop,7.33
THE B-52s * DEVO:  COSMIC DE-EVOLUTION TOUR,2025-09-24,Budweiser Stage,909 Lakeshore Blvd. W.,43.6294544,-79.4149193,Music,Rock,Alternative Rock,6.8
The Beaches - No Hard Feelings Tour,2025-11-06,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Music,Rock,Alternative Rock,6.8
Toronto Marlies v Iowa Wild,2025-11-22,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Sports,Hockey,Ahl,6.67
Toronto Marlies v Belleville Senators,2025-12-20,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Sports,Hockey,Ahl,6.67
Toronto Marlies v Grand Rapids Griffins,2025-12-07,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Sports,Hockey,Ahl,6.67
Toronto Marlies v Rochester Americans,2025-10-11,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Sports,Hockey,Ahl,6.67
Toronto Marlies v Cleveland Monsters,2025-12-14,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Sports,Hockey,Ahl,6.67
Toronto Marlies v Syracuse Crunch,2025-10-29,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Sports,Hockey,Ahl,6.67
Toronto Marlies v Grand Rapids Griffins,2025-12-06,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Sports,Hockey,Ahl,6.67
Toronto Marlies v Belleville Senators,2025-10-26,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Sports,Hockey,Ahl,6.67
Toronto Marlies v Providence Bruins,2025-11-26,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Sports,Hockey,Ahl,6.67
Toronto Marlies v Utica Comets,2025-10-19,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Sports,Hockey,Ahl,6.67
Toronto Marlies v Iowa Wild,2025-11-23,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Sports,Hockey,Ahl,6.67
Toronto Marlies v Belleville Senators,2025-10-25,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Sports,Hockey,Ahl,6.67
The Walters,2025-11-01,The Mod Club (formerly known as The Axis Club),722 College St.,43.6551655,-79.4190636,Music,Rock,Pop,6.6
The Tenors - Joy to the World Tour,2025-12-08,Roy Thomson Hall,60 Simcoe St.,43.6467094,-79.3858998,Music,Pop,Pop,6.6
Frost Children,2025-11-09,Longboat Hall,1087 Queen Street West (Basement Of Great Hall),43.64335,-79.42202,Music,Pop,Pop,6.6
Billianne,2025-12-09,The Great Hall,1087 Queen St. W.,43.6432475,-79.4220782,Music,Pop,Pop,6.6
Jeff Tweedy,2025-10-10,The Concert Hall,The Masonic Temple,43.67308,-79.38842,Music,Rock,Pop,6.6
U.S. Girls,2025-09-26,The Mod Club (formerly known as The Axis Club),722 College St.,43.6551655,-79.4190636,Music,Rock,Pop,6.6
Jukebox the Ghost,2025-10-13,The Horseshoe Tavern,370 Queen Street West,43.64911,-79.39588,Music,Rock,Pop,6.6
LOVERBOY - MUSIC THAT MOVES,2025-10-16,Under the Neon Palms at the El Mocambo,464 Spadina Avenue,43.65758,-79.4002,Music,Rock,Pop,6.6
6arelyhuman - Digital Dancer Tour,2025-10-16,The Opera House,735 Queen St. E.,43.6590002,-79.3487743,Music,Pop,Pop,6.6
quinnie - The Paper Doll Tour,2025-10-10,Velvet Underground,508 Queen St. W.,43.6477172,-79.4014822,Music,Pop,Pop,6.6
BETWEEN FRIENDS - WOW! TOUR,2025-10-10,The Mod Club (formerly known as The Axis Club),722 College St.,43.6551655,-79.4190636,Music,Rock,Pop,6.6
Runnner - A Welcome Kind of Weakness Tour,2025-10-09,The Garrison,1197 Dundas Street West,43.6492732,-79.4223075,Music,Rock,Pop,6.6
David Archuleta - Earthly Delights Tour,2025-10-12,The Mod Club (formerly known as The Axis Club),722 College St.,43.6551655,-79.4190636,Music,Rock,Pop,6.6
Cautious Clay - The Hours Tour,2025-10-07,The Mod Club (formerly known as The Axis Club),722 College St.,43.6551655,-79.4190636,Music,R&B,R&B,6.6
Sun Room - The Jackknife Tour,2025-10-21,Velvet Underground,508 Queen St. W.,43.6477172,-79.4014822,Music,Rock,Pop,6.6
Chris Lanzon - You're Missing The Best Part Tour,2025-11-09,The Drake Hotel,1150 Queen Street West,43.6431078,-79.4246457,Music,Pop,Pop,6.6
The Happy Fits,2025-12-07,The Opera House,735 Queen St. E.,43.6590002,-79.3487743,Music,Rock,Pop,6.6
Rocco - The Smoking Gun Tour,2025-10-04,Velvet Underground,508 Queen St. W.,43.6477172,-79.4014822,Music,Pop,Pop,6.6
Yukon Blonde,2025-10-03,Longboat Hall,"103 Dovercourt Rd, (Basement Of Great Hall)",43.643,-79.42216,Music,Rock,Pop,6.6
Anamanaguchi - The Buckwild Tour,2025-10-06,The Opera House,735 Queen St. E.,43.6590002,-79.3487743,Music,Rock,Pop,6.6
UMI - PEOPLE STORIES WORLD TOUR,2025-11-17,The Phoenix Concert Theatre,410 Sherbourne Street,43.6644615,-79.3735993,Music,R&B,R&B,6.6
Himalayas,2025-11-17,The Drake Hotel,1150 Queen Street West,43.6431078,-79.4246457,Music,Rock,Pop,6.6
Ezra Furman,2025-10-21,The Mod Club (formerly known as The Axis Club),722 College St.,43.6551655,-79.4190636,Music,Rock,Pop,6.6
Macy Gray with Special Guests,2025-11-14,The Concert Hall,The Masonic Temple,43.67308,-79.38842,Music,Rock,Pop,6.6
KATSEYE: THE BEAUTIFUL CHAOS TOUR,2025-11-18,The Theatre at Great Canadian Casino Resort Toronto,1133 Queens Plate Dr,43.712525,-79.602042,Music,Pop,Pop,6.6
Adrien Nunez: Don't Wanna Go Home Tour,2025-10-06,Horseshoe Tavern,370 Queen St. W.,43.6490438,-79.395913,Music,Pop,Pop,6.6
Hayden with Special Guests,2025-10-05,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Rock,Pop,6.6
Live Animals Who Gets Hunted EP Release Party,2025-10-04,The Dance Cave,529 Bloor Street West,43.665244,-79.409452,Music,Rock,Rock,6.6
Lauren Ash - Presented By F7 Live,2025-11-18,The Mod Club (formerly known as The Axis Club),722 College St.,43.6551655,-79.4190636,Music,Pop,Pop,6.6
Ron Hawkins,2025-10-03,The Rivoli,334 Queen St. West,43.64929,-79.395,Music,Rock,Pop,6.6
