Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,price_usd,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,SPEED_MAX_GUST,MAX_REL_HUMIDITY,hotel_index,events_total_score,events_max_score,events_avg_score,events_count,events_earliest_day,events_latest_day,events_avg_day,events_primary_segment,events_span_days,events_density,has_major_event,has_multiple_events,price_cad,length_of_stay,is_holiday,district,latitude,longitude,is_weekend,week_of_year,booking_lead_time,room_category
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Downtown Toronto Condo CN Tower,"The Harbourfront, Toronto (Entertainment District)",One-Bedroom Apartment,0.7,207.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3216,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,279.45,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,One-Bedroom Apartment
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,B Hotel,Toronto,Deluxe Suite,2.7,179.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3217,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,241.65,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Suite
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Deluxe Suites at York,"Entertainment District, Toronto (Entertainment District)",Studio Apartment with Harbor View,0.7,182.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3218,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,245.7,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,One-Bedroom Apartment
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,W Toronto,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",Deluxe King Room,1.3,478.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3219,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,645.3,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Deluxe Room
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Toronto Marriott City Centre Hotel,"Entertainment District, Toronto (Entertainment District)","Guest room, 1 Queen",0.8,553.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3220,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,746.55,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard Queen
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Elegant Downtown Home,"Cabbagetown, Toronto (Cabbagetown)",Deluxe King Room,0.9,229.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3221,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,309.15,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Deluxe Room
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Toronto Don Valley Hotel and Suites,"North York, Toronto",Double Room,5.7,104.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3222,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,140.4,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard Double
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Modern Toronto Lake View & CN Tower View - One Free Parking,"The Harbourfront, Toronto (Entertainment District)",Two-Bedroom Apartment,0.6,282.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3223,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,380.7,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Two-Bedroom Apartment
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Old Mill Toronto Hotel,"Etobicoke, Toronto",Basic Queen Room,5.5,233.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3224,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,314.55,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Economy Room
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Warm Downtown Home,"Old Town Toronto, Toronto (Old Town Toronto)",Standard Double Room,0.5,99.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3225,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,133.65,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard Double
