Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price,Review,name,score,Review Score,Number of Reviews,Rating,Star Rating,Distance from Attraction,Location Score
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Sutton Place Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Accessible Room - 1 King Bed,0.7 miles from downtown,Free airport taxi,$214,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,The Hazelton Hotel,"Bloor-Yorkville, Toronto (Bloor-Yorkville)","Deluxe Room, 1 King Bed, Balcony",1.4 miles from downtown,Free airport taxi,$790,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Holiday Inn Express Toronto-North York by IHG,"North York, Toronto",Standard King Room,10.2 miles from downtown,,$142,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Best Western Premier Toronto Airport Carlingview Hotel,"Etobicoke, Toronto (Northeast Mississauga)",King Room - Non-Smoking/Shower Only,10.7 miles from downtown,,$108,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Modern Downtown Condo Free Parking Pool Balcony Walk to Lake,"Downtown Toronto, Toronto",One-Bedroom Apartment,1.6 miles from downtown,Free airport taxi,$243,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,TononHouse,"North York, Toronto",Queen Room,9.2 miles from downtown,Late Escape Deal,$69,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"Toor Hotel Toronto, Part Of Jdv By Hyatt","Downtown Toronto, Toronto",King Room,0.5 miles from downtown,,$198,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Lovely 1-Bedroom New Apartment Downtown,Toronto,One-Bedroom Apartment,2.2 miles from downtown,Late Escape Deal,$138,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,La TUMU,"The Village, Toronto (The Village)",Deluxe King Studio,0.9 miles from downtown,Free airport taxi,$205,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Chic 1-BR Condo; Parking included; Downtown Core,"Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.7 miles from downtown,Free airport taxi,$366,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Montecassino Hotel & Event Centre,"North York, Toronto",Partner offer option,8.6 miles from downtown,,$130,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Two BD CN Tower and Lake Ontario View,"Entertainment District, Toronto (Entertainment District)",Two-Bedroom Apartment,0.7 miles from downtown,Free airport taxi,$347,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"Spacious 2 Bedroom plus Den, 2 Bath, Sleeps 5 with Balcony and Lakeview Downtown Toronto Condo","Downtown Toronto, Toronto",Three-Bedroom Apartment,1.6 miles from downtown,Free airport taxi,$495,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"Spacious Room with Ensuite Bathroom near Subway, Koreatown & UofT","Downtown Toronto, Toronto",Superior Queen Room,1.8 miles from downtown,,$131,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Beautiful Luxurious Modern Condo With Breathtaking Views,"Entertainment District, Toronto (Entertainment District)",Two-Bedroom Apartment,0.7 miles from downtown,Free airport taxi,$496,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Gabby's Place Downtown Core,"Cabbagetown, Toronto (Cabbagetown)",Studio,0.8 miles from downtown,Free airport taxi,$191,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Lovely 2 Bed Condo in Downtown Toronto,"Downtown Toronto, Toronto",One-Bedroom Apartment,1.1 miles from downtown,Free airport taxi,$194,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Le Germain Hotel Maple Leaf Square,"Entertainment District, Toronto (Entertainment District)",Classic King Room,0.6 miles from downtown,Free airport taxi,$284,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Residence Inn by Marriott Toronto Downtown / Entertainment District,"Entertainment District, Toronto (Entertainment District)",King Studio with Sofa Bed,0.7 miles from downtown,,$222,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"Stylish Stay Toronto Oasis - Reg # STR-2309-HMVRVX exp Feb 21, 2026","The Village, Toronto (The Village)",One-Bedroom Apartment,0.5 miles from downtown,Free airport taxi,$210,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Downtown Luxury Victorian Retreat,"Cabbagetown, Toronto (Cabbagetown)",Deluxe Queen Room with Garden View,0.8 miles from downtown,Free airport taxi,$260,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"Elegant 2BR & 2BA Retreat in Prime Yorkville, Downtown","Bloor-Yorkville, Toronto (Bloor-Yorkville)",Two-Bedroom Apartment with City View,1.4 miles from downtown,Free airport taxi,$266,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Modern Apartment Close To The Beach with Parking,Toronto,Two-Bedroom Apartment,3.6 miles from downtown,Free airport taxi,$268,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Filmores Hotel,"Downtown Toronto, Toronto",Queen Room,0.6 miles from downtown,,$153,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Central Downtown Toronto - Trinity Bellwood Park,"Downtown Toronto, Toronto",Studio Apartment,1.4 miles from downtown,,$131,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Xiao Wang,"The Annex, Toronto (The Annex)",Deluxe Room,1.6 miles from downtown,,$186,,,,,,,,,
